Date,Account,Description,Category,Tags,Amount
7/10/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-19.07
7/10/2024,Credit Card 2637,Doordash,Restaurants,,-9.99
7/10/2024,Credit Card 4008,Tme*people Www.mags.com Ny,Entertainment,,-11.42
7/10/2024,Credit Card 2004,Courtyard,Travel,,-229.05
7/10/2024,Brokerage 8093,Target 2030 Fund - Fees,Service Charges/Fees,,-6.25
7/10/2024,Brokerage 8093,Target 2030 Fund - Fees,Service Charges/Fees,,-2
7/10/2024,Brokerage 8093,Target 2030 Fund - Realizedgainloss,Transfers,,1.35
7/10/2024,Mortgage 6184,Escrow Refund,Uncategorized,,318.9
7/10/2024,Checking 2637,Paypal Inst Xfer Xx0710 Gamingfunds Person One,Transfers,,-60
7/10/2024,Checking 2300,Zelle,Home Maintenance,,-175
7/10/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nt7dnp8 On 07/10/24,Transfers,,-200
7/10/2024,Checking 2628,Mobile Deposit : Ref Number :xxxxxxxx9822,Other Income,,195.69
7/10/2024,Checking 4690,Paypal Inst Xfer Xx0710 Xsolla Hero War Person One,Transfers,,-14.99
7/10/2024,Checking 4690,Paypal Inst Xfer Xx0710 Xsolla Hero War Person One,Transfers,,-14.99
7/10/2024,Checking 4690,Paypal Inst Xfer Xx0710 Xsolla Hero War Person One,Transfers,,-14.99
7/9/2024,Credit Card 2004,State Farm,Insurance,,-479.01
7/9/2024,Credit Card 2637,Costco,General Merchandise,,-140.99
7/9/2024,Brokerage IRA,Emn - Eastman Chem Co,Dividends Received (tax-advantaged),,39.69
7/8/2024,Credit Card 2004,Amazon Prime Video,Entertainment,,-3.79
7/8/2024,Credit Card 2004,Rave Cinemas,Entertainment,,-12.75
7/8/2024,Credit Card 2004,Taco Bell,Restaurants,,-6.35
7/8/2024,Credit Card 2637,Safeway,Groceries,,-123.87
7/8/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-8.47
7/8/2024,Credit Card 4008,Spotify,Entertainment,,-11.99
7/8/2024,Credit Card 2637,Ihop,Restaurants,,-110.38
7/8/2024,Brokerage IND,Scha - Schwab Strategic Tr-us Sml Cap Etf,General Rebalance,,-991.93
7/8/2024,Brokerage IND,Iwm - Ishares Tr-russell 2000 Etf,General Rebalance,,-606.59
7/8/2024,Brokerage IRA,Iwm - Ishares Tr-russell 2000 Etf,General Rebalance,,-3032.93
7/8/2024,Brokerage IRA,Pool - Pool Corp,General Rebalance,,-1523.05
7/8/2024,Brokerage IRA,Schp - Schwab Strategic Tr-us Tips Etf,Dividends Received (tax-advantaged),,33.97
7/8/2024,Checking 2637,American Education Services,Loans,,-1500
7/8/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nskvnd6 On 07/08/24,Transfers,,-195
7/8/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nrxw8m5 On 07/05/24,Transfers,,-350
7/8/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nskvskz On 07/08/24,Transfers,,-195
7/8/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nrxw9yl On 07/05/24,Transfers,,-350
7/8/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0nskvnd6 On 07/08/24,Transfers,,195
7/8/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0nrxw8m5 On 07/05/24,Transfers,,350
7/8/2024,Brokerage 8093,Target 2030 Fund - Contribution,Retirement Contributions,,483.98
7/8/2024,Checking 4690,Chase,Credit Card Payments,,-1268.94
7/8/2024,Checking 4690,American Express,Credit Card Payments,,-1062.05
7/8/2024,Checking 4690,American Express,Credit Card Payments,,-599.11
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0708 Xsolla Hero War Person One,Transfers,,-250
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0708 Xsolla Hero War Person One,Transfers,,-180
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0708 Xsolla Hero War Person One,Transfers,,-180
7/8/2024,Checking 4690,Chase,Credit Card Payments,,-149.89
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0707 Xsolla Hero War Person One,Transfers,,-94
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0707 Xsolla Hero War Person One,Transfers,,-46.89
7/8/2024,Checking 4690,Paypal Inst Xfer Xx0706 Xsolla Hero War Person One,Transfers,,-1.89
7/7/2024,Credit Card 4008,Experian,Online Services,,-99.95
7/7/2024,Credit Card 2637,Five Guys,Restaurants,,-51.48
7/7/2024,Credit Card 2004,Walmart,General Merchandise,,-48.7
7/7/2024,Credit Card 2004,Sweetwater Tavern,Restaurants,,-110.69
7/7/2024,Credit Card 1009,Ocean Xx Xxx8708 Myrtle Beach Sc,Other Expenses,,-540.15
7/6/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,1268.94
7/6/2024,Credit Card 5529,Payment Thank You-mobile,Credit Card Payments,,149.89
7/6/2024,Credit Card 4008,Mobile Payment - Thank You,Credit Card Payments,,599.11
7/6/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,1062.05
7/5/2024,Credit Card 2637,Dcprimesteakslobster,Restaurants,,-1500
7/5/2024,Credit Card 2637,Staples,Office Supplies,,-95.35
7/5/2024,Credit Card 2637,Party City,Entertainment,,-125.08
7/5/2024,Credit Card 2637,Costco,General Merchandise,,-220.21
7/5/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-6.88
7/5/2024,Checking 2637,Online Transfer From Person One Ref #ib0nrg592z Preferred Checking Reimbursement For Joshua Expenses June 24,Transfers,,581
7/5/2024,Checking 2637,Adp,Deposits,,1592.5
7/5/2024,Checking 2300,Verizon Wireless,Telephone,,-393.64
7/5/2024,Checking 2300,State Of Maryland,Paychecks/Salary,,1029.13
7/5/2024,Credit Card 4008,Directv,Cable/Satellite,,-289.63
7/5/2024,Credit Card 2004,Courtyard,Travel,,-131.2
7/5/2024,Credit Card 2004,Clr*stretchzonex0372ashburn Va,Clothing/Shoes,,-220
7/5/2024,Checking 4690,Online Transfer To Person One Ref #ib0nrg592z Everyday Checking Reimbursement For Joshua Expenses June 24,Transfers,,-581
7/5/2024,Checking 4690,Srectrade,Paychecks/Salary,,128.69
7/5/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-12
7/5/2024,Brokerage IRA,Shyg - Ishares Tr-0-5yr Hi Yl Cp,Dividends Received (tax-advantaged),,22.03
7/5/2024,Brokerage IRA,Ebnd - Spdr Ser Tr-bloomberg Emergi,Dividends Received (tax-advantaged),,25.58
7/5/2024,Brokerage IRA,Usig - Ishares Tr-usd Inv Grde Etf,Dividends Received (tax-advantaged),,20.89
7/4/2024,Credit Card 2004,Walmart Plus,Dues & Subscriptions,,-12.95
7/4/2024,Credit Card 2004,Walmart,Refunds & Reimbursements,,12.95
7/4/2024,Credit Card 2637,24 7 Sports,General Merchandise,,-9.95
7/4/2024,Credit Card 2637,Venmo *alyssa Hill,Transfers,,-239.99
7/4/2024,Credit Card 2637,Doordash,Restaurants,,-38.31
7/4/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-7.65
7/3/2024,Credit Card 2637,Staples,Office Supplies,,-79.82
7/3/2024,Credit Card 2004,Westin Hotels & Resorts,Travel,,-168.37
7/3/2024,Credit Card 2004,Quicken,Online Services,,-71.88
7/3/2024,Credit Card 2004,E-zpass,Travel,,-140
7/3/2024,Credit Card 2004,Whole Foods Market,Groceries,,-73.13
7/3/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nr6wth4 On 07/03/24,Transfers,,-495
7/3/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nr6x3sc On 07/03/24,Transfers,,-495
7/3/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0nr6wth4 On 07/03/24,Transfers,,495
7/3/2024,Credit Card 2637,Venmo Inc,Restaurants,,-15.45
7/3/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
7/3/2024,Credit Card 2637,Amazon,General Merchandise,,-64.85
7/3/2024,Credit Card 2637,Virginia Department Of Alcoholic Beverage Control,Groceries,,-250
7/3/2024,Checking 4690,Paypal Inst Xfer Xx0703 Xsolla Hero War Person One,Transfers,,-44.99
7/3/2024,Checking 4690,"General Dynamics Information Technology, Inc",Deposits,,2257.54
7/3/2024,Credit Card 5529,Fleming's Prime Steakhouse & Wine Bar,Restaurants,,-113.42
7/3/2024,Brokerage IRA,Bsv - Vanguard Bd Index Fds-short Trm Bond,Dividends Received (tax-advantaged),,30.75
7/3/2024,Brokerage IRA,Bndx - Vanguard Charlotte Fds-total Int Bd Etf,Dividends Received (tax-advantaged),,8.01
7/3/2024,Brokerage IRA,Vgit - Vanguard Scottsdale Fds-inter Term Treas,Dividends Received (tax-advantaged),,23.95
7/3/2024,Brokerage IRA,Vglt - Vanguard Scottsdale Fds-long Term Treas,Dividends Received (tax-advantaged),,15.34
7/2/2024,Credit Card 2004,Wegmans,Groceries,,-61.24
7/2/2024,Credit Card 2004,Amazon Marketplace,General Merchandise,,-143.09
7/2/2024,Brokerage IRA,Vnq - Vanguard Index Fds-real Estate Etf,Dividends Received (tax-advantaged),,860.32
7/2/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-54.16
7/2/2024,Credit Card 2637,First Watch,Restaurants,,-39.65
7/2/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-49.52
7/2/2024,Checking 2637,Zelle,Transfers,,-500
7/2/2024,Checking 2300,Zelle,Home Maintenance,,-240
7/2/2024,Checking 2300,Zelle,Rent,,500
7/2/2024,Credit Card 4008,Netflix,Entertainment,,-30.98
7/2/2024,Checking 4690,Chase,Credit Card Payments,,-2140.5
7/2/2024,Checking 4690,Chase,Credit Card Payments,,-128
7/1/2024,Mortgage 6184,Principal Pmt,Loans,,200
7/1/2024,Mortgage 6184,Payment,Loans,,4164.06
7/1/2024,Checking 2637,Paypal Inst Xfer Xx0701 Sscevent Person One,Transfers,,-10.81
7/1/2024,Checking 2637,American Express,Credit Card Payments,,-2607.47
7/1/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0npldjwn On 06/29/24,Transfers,,-20
7/1/2024,Checking 2300,Zelle,Rent,,500
7/1/2024,Checking 2628,Wells Fargo,Transfers,,-1
7/1/2024,Checking 2628,Uplift,Travel,,-357.75
7/1/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nptwjzz On 06/30/24,Transfers,,-67
7/1/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0npldqtv On 06/29/24,Transfers,,-20
7/1/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9667 Ref #ib0nptwjdf On 06/30/24,Savings,,67
7/1/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9793 Ref #ib0nptwddm On 06/30/24,Transfers,,100
7/1/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0npldjwn On 06/29/24,Transfers,,20
7/1/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nptwjdf On 06/30/24,Transfers,,-67
7/1/2024,Savings 9793,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nptwddm On 06/30/24,Transfers,,-100
7/1/2024,Savings 9793,Wells Fargo,Savings,,1
7/1/2024,Credit Card 4008,Verizon,Telephone,,-278.5
7/1/2024,Credit Card 4008,Mobile Payment - Thank You,Credit Card Payments,,66.98
7/1/2024,Credit Card 2004,Life Time Fitness,Personal Care,,-193.73
7/1/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,742
7/1/2024,Credit Card 2004,Clicksend.com Recharsouth Perth Au,Healthcare/Medical,,-20
7/1/2024,Credit Card 2004,Google *cloud Knwbwbg.co/helppay# Ca,Online Services,,-13.99
7/1/2024,Checking 4690,American Express,Credit Card Payments,,-742
7/1/2024,Checking 4690,American Express,Credit Card Payments,,-66.98
7/1/2024,Checking 4690,Paypal Inst Xfer Xx0701 Wlcpickleba Person One,Transfers,,-50
7/1/2024,Checking 4690,Paypal Inst Xfer Xx0701 Xsolla Hero War Person One,Transfers,,-46.89
7/1/2024,Checking 4690,Wells Fargo Home Mortgage,Mortgages,,-4364.06
7/1/2024,Checking 4690,Paypal Inst Xfer Xx0629 Xsolla Hero War Person One,Transfers,,-1.89
7/1/2024,Credit Card 7031,Mathway,Education,,-19.99
7/1/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,2140.5
7/1/2024,Credit Card 2637,Ls Swim Gem Inc,Entertainment,,-232.03
7/1/2024,Credit Card 2637,Doordash,Restaurants,,-29.24
7/1/2024,Credit Card 5529,Payment Thank You-mobile,Credit Card Payments,,128
7/1/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-7.65
7/1/2024,Brokerage IND,Schf - Schwab Strategic Tr-intl Eqty Etf,Dividends Received,,25.74
7/1/2024,Brokerage IND,Scha - Schwab Strategic Tr-us Sml Cap Etf,Dividends Received,,17.92
7/1/2024,Brokerage IRA,Ppl - Ppl Corp,Dividends Received (tax-advantaged),,50.73
7/1/2024,Brokerage IRA,Schf - Schwab Strategic Tr-intl Eqty Etf,Dividends Received (tax-advantaged),,2389.24
7/1/2024,Brokerage IRA,Scha - Schwab Strategic Tr-us Sml Cap Etf,Dividends Received (tax-advantaged),,113.76
7/1/2024,Brokerage IRA,Nke - Nike Inc-cl B,Dividends Received (tax-advantaged),,32.93
7/1/2024,Brokerage IRA,Alb - Albemarle Corp,Dividends Received (tax-advantaged),,20.4
7/1/2024,Brokerage IRA,Ko - Coca Cola Co,Dividends Received (tax-advantaged),,43.65
6/30/2024,Credit Card 2004,Royal Farms,Groceries,,-29.52
6/30/2024,Credit Card 2004,Chargepoint,Gasoline/Fuel,,-2.95
6/30/2024,Credit Card 2637,Amazon Marketplace,General Merchandise,,-79.65
6/30/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-6.88
6/30/2024,Savings 0176,Interest Payment,Interest,,0.11
6/30/2024,Savings 0613,Interest Payment,Interest,,0.06
6/29/2024,Credit Card 2637,Safeway,Groceries,,-64.32
6/29/2024,Credit Card 5529,Tropical Smoothie Cafe,Restaurants,,-14.29
6/29/2024,Credit Card 2004,Courtyard,Travel,,-252.1
6/29/2024,Credit Card 2004,Pickleballerz,Entertainment,,-28
6/29/2024,Credit Card 2637,Sp Durable Health,Healthcare/Medical,,-37.04
6/29/2024,Credit Card 2637,Amazon,General Merchandise,,-16.95
6/29/2024,Credit Card 2637,Wegmans,Groceries,,-315.96
6/28/2024,Credit Card 2637,Costco,General Merchandise,,-341.39
6/28/2024,Brokerage 8440,Reinvestment Cash,Securities Trades,,-0.97
6/28/2024,Brokerage 8440,Interest Earned Cash,Investment Income,,0.97
6/28/2024,HSA 4750,Bought Fdic Insured Deposit Fdicx9359 Cash,Securities Trades,,0.18
6/28/2024,HSA 4750,Taxable Interest Fdic Insured Deposit Fdicx9359,Investment Income,,0.18
6/28/2024,Brokerage 9091,Af Trgt Date 2030 R6 - Contribution,Retirement Contributions,,800.34
6/28/2024,Credit Card 2004,Apple.com,Electronics,,-0.99
6/28/2024,Brokerage IND,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,10.29
6/28/2024,Brokerage IRA,Khc - Kraft Heinz Co,Dividends Received (tax-advantaged),,67.6
6/28/2024,Brokerage IRA,Nvda - Nvidia Corporation,Dividends Received (tax-advantaged),,2
6/28/2024,Brokerage IRA,Es - Eversource Energy,Dividends Received (tax-advantaged),,74.36
6/28/2024,Brokerage IRA,Nwe - Northwestern Energy Group In,Dividends Received (tax-advantaged),,30.55
6/28/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,17.79
6/28/2024,Brokerage IRA,Bac - Bank America Corp,Dividends Received (tax-advantaged),,62.64
6/28/2024,Brokerage IRA,Sci - Service Corp Intl,Dividends Received (tax-advantaged),,22.2
6/28/2024,Brokerage IRA,Vlo - Valero Energy Corp,Dividends Received (tax-advantaged),,42.8
6/28/2024,Brokerage IRA,Nem - Newmont Corp,Dividends Received (tax-advantaged),,28.25
6/28/2024,Brokerage IRA,Pep - Pepsico Inc,Dividends Received (tax-advantaged),,42.01
6/28/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0np9bq47 On 06/28/24,Transfers,,-300
6/28/2024,Checking 2300,Recurring Transfer To Person Two S Way2save Savings Ref #op0np5qn3p Xxxxxxxxx9667,Transfers,,-100
6/28/2024,Checking 2628,Recurring Transfer To Person Two S Way2save Savings Ref #op0np9hc5h Xxxxxxxxx9793,Transfers,,-100
6/28/2024,Checking 2628,Online Transfer From Person Two S Preferred Checking Xxxxxx0819 Ref #ib0np9btv9 On 06/28/24,Transfers,,65
6/28/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0np9bq47 On 06/28/24,Transfers,,300
6/28/2024,Savings 9667,Recurring Transfer From Person One Checking Ref #op0np5qn3p Xxxxxxxxx2300,Transfers,,100
6/28/2024,Savings 9793,Recurring Transfer From Person Two S Everyday Checking Ref #op0np9hc5h Xxxxxxxxx2628,Transfers,,100
6/28/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
6/28/2024,Checking 4690,Paypal Inst Xfer Xx0628 Xsolla Hero War Person One,Transfers,,-9.99
6/28/2024,Checking 4690,F.y.e.,Entertainment,,1093.86
6/28/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx0628 18osv03gkn Person One,Refunds & Reimbursements,,5368.27
6/28/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx0628 18osv03gqy Person One,Refunds & Reimbursements,,215.15
6/27/2024,Credit Card 2004,Courtyard,Travel,,-266.51
6/27/2024,Credit Card 2004,Harris Teeter,Groceries,,-28.98
6/27/2024,Checking 2637,Paypal Inst Xfer Xx0627 Rs Person One,Transfers,,-15
6/27/2024,Credit Card 2637,Venmo Inc,Restaurants,,-1.03
6/27/2024,Checking 4690,American Express,Credit Card Payments,,-1286.57
6/27/2024,Credit Card 4300,Gold's Gym,Personal Care,,-49.99
6/27/2024,Brokerage IRA,Gs - Goldman Sachs Group Inc,Dividends Received (tax-advantaged),,68.75
6/26/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,1286.57
6/26/2024,Brokerage IRA,Cmg - Chipotle Mexican Grill Inc,Securities Trades,,0
6/26/2024,Brokerage IRA,Meta - Meta Platforms Inc-cl A,Dividends Received (tax-advantaged),,17
6/26/2024,Savings 0176,Online Transfer From Person One Ref #ib0nnkqzcl Preferred Checking Jan Through June 2024 House Savings,Transfers,,2400
6/26/2024,Savings 0613,Online Transfer From Person One Ref #ib0nnkr52l Preferred Checking Jan Through June 2024 House Savings,Transfers,,2400
6/26/2024,Checking 4690,Interest Payment,Interest,,0.1
6/26/2024,Checking 4690,Online Transfer To Person Three Ref #ib0nnkr52l Savings Jan Through June 2024 House Savings,Transfers,,-2400
6/26/2024,Checking 4690,Online Transfer To Person One Ref #ib0nnkqzcl Savings Jan Through June 2024 House Savings,Transfers,,-2400
6/25/2024,Credit Card 2637,Ua Inflight/inclub Credit,Refunds & Reimbursements,,2.5
6/25/2024,Credit Card 2637,United Airlines,Travel,,-10
6/25/2024,Credit Card 2637,United Airlines,Travel,,-10
6/25/2024,Credit Card 2637,Ua Inflight/inclub Credit,Refunds & Reimbursements,,2.5
6/25/2024,Credit Card 2004,Virginia Department Of Alcoholic Beverage Control,Groceries,,-25.42
6/25/2024,Credit Card 2004,E-zpass,Travel,,-140
6/25/2024,Credit Card 2637,Five Guys,Restaurants,,-79.31
6/25/2024,Credit Card 2637,Exxonmobil,Gasoline/Fuel,,-109.67
6/25/2024,Credit Card 4008,Cooper's Hawk Winery & Restaurants,Restaurants,,-64.99
6/25/2024,Credit Card 2004,Giant Food,Groceries,,-37.48
6/25/2024,Credit Card 2004,Google *youtubepremig.co/helppay# Ca,Online Services,,-13.99
6/25/2024,Checking 4690,Instant Pmt From Paypal On 06/25 Ref#xxxxxxxxxxxxx0021p1brjpcxxxxxxx5505,Transfers,,4775
6/25/2024,Brokerage IND,Unh - Unitedhealth Group Inc,Dividends Received,,6.3
6/25/2024,Brokerage IRA,Vwo - Vanguard Intl Equity Index F-ftse Emr Mkt Etf,Dividends Received (tax-advantaged),,436.74
6/25/2024,Brokerage IRA,Vss - Vanguard Intl Equity Index F-ftse Smcap Etf,Dividends Received (tax-advantaged),,254.61
6/25/2024,Brokerage IRA,Unh - Unitedhealth Group Inc,Dividends Received (tax-advantaged),,27.3
6/24/2024,Checking 2637,Vasile Ciprian C Iat Paypal Xxxxxx Xxxxxxxxx9067 Person One,Transfers,,-7.2
6/24/2024,Checking 2628,Online Transfer To Person Two S Preferred Checking Xxxxxx0819 Ref #ib0nmz99jk On 06/24/24,Transfers,,-285
6/24/2024,Checking 2628,Online Transfer From Person One Checking Xxxxxxxxx2300 Ref #ib0nmz97ds On 06/24/24,Transfers,,285
6/24/2024,Credit Card 4008,Mobile Payment - Thank You,Credit Card Payments,,198.58
6/24/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,1476.16
6/24/2024,Credit Card 2004,Norwegian Cruise Line,Travel,,-480.47
6/24/2024,Credit Card 2004,Sms International Shmiami Fl,Online Services,,-75
6/24/2024,Credit Card 2004,Dulles International Airport,Travel,,-327
6/24/2024,Credit Card 2004,Dulles International Airport,Travel,,-327
6/24/2024,Credit Card 2637,Adobe,Online Services,,-19.99
6/24/2024,Credit Card 2637,Norwegian Cruise Line,Travel,,-894.22
6/24/2024,Checking 2300,Wells Fargo,Transfers,,-1
6/24/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0nmz97ds On 06/24/24,Transfers,,-285
6/24/2024,Checking 2300,Purchase Authorized On 06/20 Rain Forest Advent St Maarten Sxm Sxxxxxxxxxxx3644 Card 2610,Entertainment,,-125
6/24/2024,Savings 9667,Wells Fargo,Savings,,1
6/24/2024,Checking 4690,American Express,Credit Card Payments,,-1476.16
6/24/2024,Checking 4690,American Express,Credit Card Payments,,-198.58
6/24/2024,Checking 4690,Paypal Inst Xfer Xx0622 Xsolla Hero War Person One,Transfers,,-94
6/24/2024,Checking 4690,Paypal Inst Xfer Xx0623 Xsolla Hero War Person One,Transfers,,-1.89
6/23/2024,Credit Card 2637,Audible,Hobbies,,-14.95
6/22/2024,Credit Card 4008,Microsoft,Online Services,,-1.99
6/21/2024,Credit Card 2637,Abc*the Fitness Equation,Personal Care,,-75
6/21/2024,Brokerage 8093,Target 2030 Fund - Contribution,Retirement Contributions,,1088.95
6/21/2024,Credit Card 4008,Microsoft,Online Services,,-148.6
6/21/2024,Credit Card 4008,Adobe,Online Services,,-19.99
6/21/2024,Credit Card 4008,Linkedin,Dues & Subscriptions,,-29.99
6/21/2024,Credit Card 2004,Hotel Palacio Provinsan Juan Pr,Travel,,-287.18
6/21/2024,Credit Card 2004,Microsoft,Online Services,,-16.99
6/21/2024,Credit Card 2004,Arts And Souvenirs Ssan Juan Pr,Entertainment,,-25.63
6/21/2024,Brokerage IND,Wm - Waste Mgmt Inc Del,Dividends Received,,4.5
6/21/2024,Brokerage IRA,Wm - Waste Mgmt Inc Del,Dividends Received (tax-advantaged),,20.25
6/21/2024,Checking 2300,State Of Maryland,Paychecks/Salary,,1029.11
6/21/2024,Checking 4690,Paypal Inst Xfer Xx0621 Xsolla Hero War Person One,Transfers,,-24.99
6/20/2024,Credit Card 2637,Www.legacystudios.com,General Merchandise,,-203.99
6/20/2024,Credit Card 2637,Rain Forest Adventure,Entertainment,,-6
6/20/2024,Credit Card 5529,Duty Free World,General Merchandise,,-71
6/20/2024,Credit Card 5529,Rain Forest Adventure,Entertainment,,-57
6/20/2024,Checking 4690,Paypal Inst Xfer Xx0620 Xsolla Hero War Person One,Transfers,,-250
6/20/2024,Checking 4690,American Express,Credit Card Payments,,-6234.57
6/20/2024,Checking 4690,Chase,Credit Card Payments,,-1559.96
6/20/2024,Checking 4690,Paypal Inst Xfer Xx0619 Xsolla Hero War Person One,Transfers,,-250
6/20/2024,Checking 4690,Paypal Inst Xfer Xx0619 Xsolla Hero War Person One,Transfers,,-180
6/20/2024,Checking 4690,American Express,Credit Card Payments,,-98.64
6/20/2024,Checking 4690,Paypal Inst Xfer Xx0619 Xsolla Hero War Person One,Transfers,,-94
6/20/2024,Checking 4690,"General Dynamics Information Technology, Inc",Consulting,,4604.73
6/20/2024,Checking 4690,"Aatd, Llc Ach Pmt Xxxxxx Xxxxxxx6834 Person One",Paychecks/Salary,,1800
6/20/2024,Brokerage IRA,Evrg - Evergy Inc,Dividends Received (tax-advantaged),,64.89
6/20/2024,Brokerage IRA,Rli - Rli Corp,Dividends Received (tax-advantaged),,6.09
6/19/2024,Credit Card 2637,Payment Thank You-mobile,Credit Card Payments,,1559.96
6/19/2024,Credit Card 2004,Renewal Membership Fee,Dues & Subscriptions,,-695
6/19/2024,Credit Card 2004,Cheers Antigua Ltd St. Johns,Restaurants,,-170
6/18/2024,Credit Card 4008,Mobile Payment - Thank You,Credit Card Payments,,98.64
6/18/2024,Credit Card 2637,Venmo Inc,Restaurants,,-103
6/18/2024,Credit Card 2637,Transaction Fee,Service Charges/Fees,,-10
6/18/2024,Credit Card 2004,Mobile Payment - Thank You,Credit Card Payments,,6234.57
6/18/2024,Credit Card 2004,Sapphire Beach Club St Thomas Vi,Personal Care,,-73
6/18/2024,Brokerage IND,Lhx - L3harris Technologies Inc,Dividends Received,,6.96
6/18/2024,Brokerage IRA,Lin - Linde Plc,Dividends Received (tax-advantaged),,13.9
6/18/2024,Brokerage IRA,Lhx - L3harris Technologies Inc,Dividends Received (tax-advantaged),,27.84
6/17/2024,Credit Card 4008,Better Homes And Gardens Real Estate,Online Services,,-4.42
6/17/2024,Credit Card 4008,Cosmopolitan,General Merchandise,,-5
6/17/2024,Credit Card 2637,Dominican Things Taino Ba,Clothing/Shoes,,-32
6/17/2024,Credit Card 2004,Port Bay Services Puerto Plata,Clothing/Shoes,,-202
6/17/2024,Brokerage IND,Usd - Us Dollars And Money Fund Sweeps,Advisory Fee,,-126.85
6/17/2024,Brokerage IND,Iwb - Ishares Tr-rus 1000 Etf,Dividends Received,,8.06
6/17/2024,Brokerage IND,Iwm - Ishares Tr-russell 2000 Etf,Dividends Received,,44.98
6/17/2024,Brokerage IND,Goog - Alphabet Inc-cap Stk Cl C,Dividends Received,,4
6/17/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Advisory Fee,,-972.99
6/17/2024,Brokerage IRA,Dd - Dupont De Nemours Inc,Dividends Received (tax-advantaged),,38.76
6/17/2024,Brokerage IRA,Duk - Duke Energy Corp New,Dividends Received (tax-advantaged),,82
6/17/2024,Brokerage IRA,Nee - Nextera Energy Inc,Dividends Received (tax-advantaged),,75.19
6/17/2024,Brokerage IRA,Goog - Alphabet Inc-cap Stk Cl C,Dividends Received (tax-advantaged),,28
6/17/2024,Brokerage IRA,Iwm - Ishares Tr-russell 2000 Etf,Dividends Received (tax-advantaged),,227.69
6/17/2024,Checking 4690,Paypal Inst Xfer Xx0616 Xsolla Hero War Person One,Transfers,,-1.89
